Timestamp,Packet_Size,Src_IP,Dst_IP,Src_Port,Dst_Port,TCP_Flags,App
1740728641.282775,60,199.232.81.91,192.168.100.93,443,62114,A,Chrome
1740728641.303928,379,199.232.81.91,192.168.100.93,443,62114,PA,Chrome
1740728641.32971,60,199.232.81.91,192.168.100.93,443,62114,A,Chrome
1740728641.357962,255,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728641.357962,575,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728641.357962,93,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728641.358082,54,192.168.100.93,199.232.81.91,62114,443,A,Chrome
1740728641.358106,54,192.168.100.93,34.96.118.58,62111,443,A,Chrome
1740728641.358915,93,192.168.100.93,34.96.118.58,62111,443,PA,Chrome
1740728641.361665,66,192.168.100.93,199.232.81.91,62115,443,S,Chrome
1740728641.371346,60,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728641.414401,66,199.232.81.91,192.168.100.93,443,62115,SA,Chrome
1740728641.414594,54,192.168.100.93,199.232.81.91,62115,443,A,Chrome
1740728641.416846,2066,192.168.100.93,199.232.81.91,62115,443,PA,Chrome
1740728641.448546,267,192.168.100.93,34.96.118.58,62111,443,PA,Chrome
1740728641.46051,60,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728641.467404,60,199.232.81.91,192.168.100.93,443,62115,A,Chrome
1740728641.468443,60,199.232.81.91,192.168.100.93,443,62115,A,Chrome
1740728641.469625,515,199.232.81.91,192.168.100.93,443,62115,PA,Chrome
1740728641.470133,118,192.168.100.93,199.232.81.91,62115,443,PA,Chrome
1740728641.528699,60,199.232.81.91,192.168.100.93,443,62115,A,Chrome
1740728641.528802,174,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728641.528802,1454,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728641.528802,1454,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728641.528802,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728641.528802,1208,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728641.528802,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728641.528802,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728641.528802,1454,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728641.528802,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728641.528802,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728641.528802,1454,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728641.528802,629,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728641.528885,54,192.168.100.93,34.96.118.58,62111,443,A,Chrome
1740728641.529314,93,192.168.100.93,34.96.118.58,62111,443,PA,Chrome
1740728641.540696,60,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728641.540696,60,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728641.574559,716,192.168.100.93,34.96.118.58,62111,443,PA,Chrome
1740728641.575233,184,192.168.100.93,34.96.118.58,62111,443,PA,Chrome
1740728641.575302,554,192.168.100.93,34.96.118.58,62111,443,PA,Chrome
1740728641.581302,225,192.168.100.93,34.96.118.58,62111,443,PA,Chrome
1740728641.586916,60,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728641.586916,60,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728641.588038,60,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728641.593012,60,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728641.596126,177,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728641.596438,93,192.168.100.93,34.96.118.58,62111,443,PA,Chrome
1740728641.613524,60,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728641.650925,426,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728641.650925,322,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728641.650925,93,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728641.651002,54,192.168.100.93,34.96.118.58,62111,443,A,Chrome
1740728641.651453,93,192.168.100.93,34.96.118.58,62111,443,PA,Chrome
1740728641.662768,60,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728641.666705,601,192.168.100.93,34.96.118.58,62111,443,PA,Chrome
1740728641.677367,125,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728641.677367,342,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728641.677367,93,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728641.677414,54,192.168.100.93,34.96.118.58,62111,443,A,Chrome
1740728641.678336,93,192.168.100.93,34.96.118.58,62111,443,PA,Chrome
1740728641.68365,60,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728641.691628,60,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728642.124781,280,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,PA,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
1740728642.124781,1454,34.96.118.58,192.168.100.93,443,62111,A,Chrome
